all_time_snapshot_count,arbitration_confidence,arbitration_spread_pick,arbitration_total_pick,away_3pt_pct,away_b2b_flag,away_fatigue_flag,away_rest_days,away_team,away_went_ot_last_game,consensus_book_count,edge_bucket,favorite_dog_bias_flag,game_date_local,game_id,historical_bucket_win_rate,home_3pt_pct,home_b2b_flag,home_fatigue_flag,home_rest_days,home_team,home_went_ot_last_game,model_confidence,model_name,model_projected_margin,model_projected_total,model_regime_normal,model_spread_edge,model_spread_pick,model_total_edge,model_total_pick,moneyline_home_last,odds_snapshot_last_utc,over_under_bias_flag,override_confidence_delta,override_pick,override_reason,parlay_edge_score,spread_edge,spread_edge_percentile,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,three_pt_diff,total_consensus,total_consensus_all_time,total_edge,total_edge_percentile,total_last
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,FatiguePlus_v3,,,,10.439393939393938,AWAY,5.110909090909104,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,InjuryModel_v2,,,,11.718993939393938,AWAY,5.225309090909093,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,Joel_Baseline_v1,,,,-10.439393939393938,AWAY,5.5909090909090935,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,MarketBlend_v1,,,,24.675909090909073,AWAY,2.8513636363636294,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,MarketPressure_v2,,,,10.439393939393938,AWAY,4.193181818181813,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,Momentum5Game_v1,,,,9.5,AWAY,7.0,OVER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
11,,,,,False,True,1,Philadelphia 76ers,,11,8+,,2026-03-12T00:00:00Z,0022500953,0.4819277108433735,,False,True,1,Detroit Pistons,,,MonkeyDarts_v2,,,,13.452365023171824,AWAY,-3.176531320966774,UNDER,-1028,2026-03-12T15:25:58.958532+00:00,,,,,16.03030303030303,-10.439393939393938,0.9,-15.182,-14.5,-15.0,0,221.682,221.0,5.5909090909090935,0.5,221.5
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,FatiguePlus_v3,,,,-6.252757352941174,HOME,5.677169117647082,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,InjuryModel_v2,,,,-3.837057352941174,HOME,5.466969117647068,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,Joel_Baseline_v1,,,,6.252757352941174,HOME,6.157169117647072,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,MarketBlend_v1,,,,-13.811093749999998,HOME,3.140156250000018,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,MarketPressure_v2,,,,-6.252757352941174,HOME,4.617876838235304,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,Momentum5Game_v1,,,,3.1,AWAY,5.0,OVER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Phoenix Suns,,11,4-8,,2026-03-12T00:00:00Z,0022500954,0.5299401197604791,,False,True,1,Indiana Pacers,,,MonkeyDarts_v2,,,,-12.279053540131672,HOME,-1.1387669092405588,UNDER,329,2026-03-12T15:25:58.958532+00:00,,,,,12.409926470588246,6.252757352941174,0.75,8.591,8.773,8.5,0,224.091,226.0,6.157169117647072,0.5,224.0
10,,,,,False,True,1,Washington Wizards,,11,4-8,,2026-03-12T00:00:00Z,0022500955,0.5299401197604791,,True,True,0,Orlando Magic,,,FatiguePlus_v3,,,,8.492640692640697,AWAY,-4.227619047619044,UNDER,-946,2026-03-12T15:25:58.958532+00:00,,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,8.34025974025974,-6.392640692640697,0.75,-14.136,-14.318,-14.0,0,233.864,230.773,-1.9476190476190425,0.25,234.0
10,,,,,False,True,1,Washington Wizards,,11,4-8,,2026-03-12T00:00:00Z,0022500955,0.5299401197604791,,True,True,0,Orlando Magic,,,InjuryModel_v2,,,,7.804715692640697,AWAY,-2.351069047619035,UNDER,-946,2026-03-12T15:25:58.958532+00:00,,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,8.34025974025974,-6.392640692640697,0.75,-14.136,-14.318,-14.0,0,233.864,230.773,-1.9476190476190425,0.25,234.0
