game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0012500058,2025-10-14T00:00:00Z,Milwaukee Bucks,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0012500059,2025-10-14T00:00:00Z,Denver Nuggets,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
0012500060,2025-10-14T00:00:00Z,Phoenix Suns,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0012500061,2025-10-15T00:00:00Z,Charlotte Hornets,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0012500062,2025-10-15T00:00:00Z,Boston Celtics,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0012500063,2025-10-16T00:00:00Z,Detroit Pistons,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
0012500064,2025-10-16T00:00:00Z,Chicago Bulls,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0012500065,2025-10-17T00:00:00Z,Toronto Raptors,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0012500066,2025-10-17T00:00:00Z,New York Knicks,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0012500067,2025-10-17T00:00:00Z,Oklahoma City Thunder,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0012500068,2025-10-17T00:00:00Z,San Antonio Spurs,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0012500069,2025-10-17T00:00:00Z,Golden State Warriors,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0012500070,2025-10-10T00:00:00Z,Philadelphia 76ers,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0012500071,2025-10-17T00:00:00Z,Philadelphia 76ers,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500001,2025-10-21T00:00:00Z,Oklahoma City Thunder,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500002,2025-10-21T00:00:00Z,Los Angeles Lakers,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500003,2025-10-22T00:00:00Z,New York Knicks,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500004,2025-10-22T00:00:00Z,Dallas Mavericks,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500005,2025-10-23T00:00:00Z,Indiana Pacers,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500006,2025-10-23T00:00:00Z,Golden State Warriors,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0022500007,2025-10-27T00:00:00Z,Detroit Pistons,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500008,2025-10-27T00:00:00Z,Minnesota Timberwolves,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0022500009,2025-12-25T00:00:00Z,New York Knicks,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500010,2025-12-25T00:00:00Z,Oklahoma City Thunder,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500011,2025-12-25T00:00:00Z,Golden State Warriors,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0022500012,2025-12-25T00:00:00Z,Los Angeles Lakers,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500013,2025-12-25T00:00:00Z,Denver Nuggets,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500014,2026-01-19T00:00:00Z,Atlanta Hawks,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0022500015,2026-01-19T00:00:00Z,Cleveland Cavaliers,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500016,2026-01-19T00:00:00Z,New York Knicks,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0022500017,2026-01-19T00:00:00Z,Detroit Pistons,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500018,2025-10-24T00:00:00Z,New York Knicks,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500019,2025-10-24T00:00:00Z,Los Angeles Lakers,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500020,2025-10-31T00:00:00Z,Indiana Pacers,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500021,2025-10-31T00:00:00Z,Philadelphia 76ers,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500022,2025-10-31T00:00:00Z,Cleveland Cavaliers,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0022500023,2025-10-31T00:00:00Z,Chicago Bulls,New York Knicks,,,,,,,,,IGNORE,NONE,False,
0022500024,2025-10-31T00:00:00Z,Memphis Grizzlies,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0022500025,2025-10-31T00:00:00Z,Phoenix Suns,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0022500026,2025-10-31T00:00:00Z,Portland Trail Blazers,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0022500027,2025-10-31T00:00:00Z,LA Clippers,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
