game_id,game_date,season_year,side,team_id,team,abbr,opponent_side,opponent_team_id,opponent,opponent_abbr,points_scored,points_allowed,went_ot,ot_minutes,rest_days,rest_bucket,fatigue_flag,fatigue_score,fatigue_diff_home_minus_away,avg_points_for,avg_points_against,net_rating,last5_points_for,last5_points_against,net_rating_last5,team_3pm,team_3pa,team_3pt_pct,injury_impact,num_out,num_questionable
0012500036,2025-10-07T00:00:00Z,2025,home,1610612750,Minnesota Timberwolves,MIN,away,1610612754,Indiana Pacers,IND,134,135,True,5,2,2_days,True,0.5,0.15,,,,,,,17,36,0.4722,0.0,0,0
0012500036,2025-10-07T00:00:00Z,2025,away,1610612754,Indiana Pacers,IND,home,1610612750,Minnesota Timberwolves,MIN,135,134,True,5,1869,3_plus_days,True,0.35,0.15,,,,,,,20,46,0.4348,0.0,0,0
0012500003,2025-10-08T00:00:00Z,2025,home,1610612748,Miami Heat,MIA,away,1610612759,San Antonio Spurs,SAS,107,112,False,0,1,1_day,True,0.4,0.4,105.5,114.5,-9.0,,,,10,29,0.3448,0.0,0,0
0012500003,2025-10-08T00:00:00Z,2025,away,1610612759,San Antonio Spurs,SAS,home,1610612748,Miami Heat,MIA,112,107,False,0,1881,3_plus_days,False,0.0,0.4,,,,,,,13,36,0.3611,0.0,0,0
0012500015,2025-10-08T00:00:00Z,2025,home,1610612744,Golden State Warriors,GSW,away,1610612757,Portland Trail Blazers,POR,129,123,False,0,2,2_days,True,0.15,0.15,111.0,103.0,8.0,,,,19,45,0.4222,0.0,0,0
0012500015,2025-10-08T00:00:00Z,2025,away,1610612757,Portland Trail Blazers,POR,home,1610612744,Golden State Warriors,GSW,123,129,False,0,1865,3_plus_days,False,0.0,0.15,,,,,,,16,48,0.3333,0.0,0,0
0012500016,2025-10-08T00:00:00Z,2025,home,1610612758,Sacramento Kings,SAC,away,1610612761,Toronto Raptors,TOR,122,130,False,0,1881,3_plus_days,False,0.0,-0.4,,,,,,,10,33,0.303,0.0,0,0
0012500016,2025-10-08T00:00:00Z,2025,away,1610612761,Toronto Raptors,TOR,home,1610612758,Sacramento Kings,SAC,130,122,False,0,1,1_day,True,0.4,-0.4,,,,,,,20,37,0.5405,0.0,0,0
0012500037,2025-10-08T00:00:00Z,2025,home,1610612745,Houston Rockets,HOU,away,1610612762,Utah Jazz,UTA,140,127,False,0,1,1_day,True,0.4,0.4,122.0,113.0,9.0,,,,13,34,0.3824,0.0,0,0
0012500037,2025-10-08T00:00:00Z,2025,away,1610612762,Utah Jazz,UTA,home,1610612745,Houston Rockets,HOU,127,140,False,0,1862,3_plus_days,False,0.0,0.4,,,,,,,20,45,0.4444,0.0,0,0
0012500038,2025-10-08T00:00:00Z,2025,home,1610612763,Memphis Grizzlies,MEM,away,1610612738,Boston Celtics,BOS,103,121,False,0,1,1_day,True,0.4,0.4,112.0,128.0,-16.0,,,,7,38,0.1842,0.0,0,0
0012500038,2025-10-08T00:00:00Z,2025,away,1610612738,Boston Celtics,BOS,home,1610612763,Memphis Grizzlies,MEM,121,103,False,0,1836,3_plus_days,False,0.0,0.4,,,,,,,15,53,0.283,0.0,0,0
0012500039,2025-10-09T00:00:00Z,2025,home,1610612752,New York Knicks,NYK,away,1610612750,Minnesota Timberwolves,MIN,100,95,True,5,4,3_plus_days,True,0.35,-0.4,99.0,84.0,15.0,,,,15,57,0.2632,0.0,0,0
0012500039,2025-10-09T00:00:00Z,2025,away,1610612750,Minnesota Timberwolves,MIN,home,1610612752,New York Knicks,NYK,95,100,True,5,1,1_day,True,0.75,-0.4,126.0,116.0,10.0,,,,15,38,0.3947,0.0,0,0
0012500040,2025-10-09T00:00:00Z,2025,home,1610612741,Chicago Bulls,CHI,away,1610612739,Cleveland Cavaliers,CLE,119,112,False,0,1,1_day,True,0.4,0.0,,,,,,,14,42,0.3333,0.0,0,0
