all_time_snapshot_count,away_abbr,away_avg_points_against,away_avg_points_for,away_fatigue_flag,away_fatigue_score,away_last5_points_against,away_last5_points_for,away_net_rating,away_net_rating_last5,away_points,away_rest_bucket,away_rest_days,away_team,away_team_3pa,away_team_3pm,away_team_3pt_pct,away_team_id,consensus_book_count,fatigue_diff_home_minus_away,game_date,game_id,home_abbr,home_avg_points_against,home_avg_points_for,home_fatigue_flag,home_fatigue_score,home_injury_impact,home_last5_points_against,home_last5_points_for,home_net_rating,home_net_rating_last5,home_num_out,home_num_questionable,home_points,home_rest_bucket,home_rest_days,home_team,home_team_3pa,home_team_3pm,home_team_3pt_pct,home_team_id,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_utc,odds_join_method,odds_snapshot_last_utc,ot_minutes,season_year,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last,went_ot
,POR,,,False,0.0,,,,,123,3_plus_days,1865,Portland Trail Blazers,48,16,0.3333,1610612757,,0.15,2025-10-08T00:00:00Z,0012500015,GSW,103.0,111.0,True,0.15,0.0,,,8.0,,0,0,129,2_days,2,Golden State Warriors,45,19,0.4222,1610612744,,,,,,,2025-10-08,,,,0,2025,,,,,,,,,,False
,TOR,,,True,0.4,,,,,130,1_day,1,Toronto Raptors,37,20,0.5405,1610612761,,-0.4,2025-10-08T00:00:00Z,0012500016,SAC,,,False,0.0,0.0,,,,,0,0,122,3_plus_days,1881,Sacramento Kings,33,10,0.303,1610612758,,,,,,,2025-10-08,,,,0,2025,,,,,,,,,,False
,UTA,,,False,0.0,,,,,127,3_plus_days,1862,Utah Jazz,45,20,0.4444,1610612762,,0.4,2025-10-08T00:00:00Z,0012500037,HOU,113.0,122.0,True,0.4,0.0,,,9.0,,0,0,140,1_day,1,Houston Rockets,34,13,0.3824,1610612745,,,,,,,2025-10-08,,,,0,2025,,,,,,,,,,False
,BOS,,,False,0.0,,,,,121,3_plus_days,1836,Boston Celtics,53,15,0.283,1610612738,,0.4,2025-10-08T00:00:00Z,0012500038,MEM,128.0,112.0,True,0.4,0.0,,,-16.0,,0,0,103,1_day,1,Memphis Grizzlies,38,7,0.1842,1610612763,,,,,,,2025-10-08,,,,0,2025,,,,,,,,,,False
,MIN,116.0,126.0,True,0.75,,,10.0,,95,1_day,1,Minnesota Timberwolves,38,15,0.3947,1610612750,,-0.4,2025-10-09T00:00:00Z,0012500039,NYK,84.0,99.0,True,0.35,0.0,,,15.0,,0,0,100,3_plus_days,4,New York Knicks,57,15,0.2632,1610612752,,,,,,,2025-10-09,,,,5,2025,,,,,,,,,,True
,CLE,,,True,0.4,,,,,112,1_day,1,Cleveland Cavaliers,41,16,0.3902,1610612739,,0.0,2025-10-09T00:00:00Z,0012500040,CHI,,,True,0.4,0.0,,,,,0,0,119,1_day,1,Chicago Bulls,42,14,0.3333,1610612741,,,,,,,2025-10-09,,,,0,2025,,,,,,,,,,False
,DET,112.0,128.0,True,0.15,,,16.0,,111,2_days,2,Detroit Pistons,33,10,0.303,1610612765,,0.0,2025-10-09T00:00:00Z,0012500041,MIL,,,True,0.15,0.0,,,,,0,0,117,2_days,2,Milwaukee Bucks,36,18,0.5,1610612749,,,,,,,2025-10-09,,,,0,2025,,,,,,,,,,False
,CHA,,,False,0.0,,,,,116,3_plus_days,3,Charlotte Hornets,43,16,0.3721,1610612766,,0.15,2025-10-09T00:00:00Z,0012500042,OKC,,,True,0.15,0.0,,,,,0,0,122,2_days,2,Oklahoma City Thunder,43,15,0.3488,1610612760,,,,,,,2025-10-09,,,,0,2025,,,,,,,,,,False
,PHX,81.0,103.0,True,0.35,,,22.0,,132,3_plus_days,6,Phoenix Suns,42,11,0.2619,1610612756,,0.0,2025-10-10T00:00:00Z,0012500012,BKN,,,True,0.35,0.0,,,,,0,0,127,3_plus_days,1873,Brooklyn Nets,29,14,0.4828,1610612751,,,,,,,2025-10-10,,,,5,2025,,,,,,,,,,True
,SAC,,,True,0.4,,,,,123,1_day,1,Sacramento Kings,34,11,0.3235,1610612758,,0.0,2025-10-10T00:00:00Z,0012500017,POR,,,True,0.4,0.0,,,,,0,0,124,1_day,1,Portland Trail Blazers,37,10,0.2703,1610612757,,,,,,,2025-10-10,,,,0,2025,,,,,,,,,,False
,BOS,103.0,121.0,True,0.4,,,18.0,,105,1_day,1,Boston Celtics,38,10,0.2632,1610612738,,0.0,2025-10-10T00:00:00Z,0012500044,TOR,112.0,108.0,True,0.4,0.0,,,-4.0,,0,0,107,1_day,1,Toronto Raptors,46,16,0.3478,1610612761,,,,,,,2025-10-10,,,,0,2025,,,,,,,,,,False
,UTA,140.0,127.0,True,0.75,,,-13.0,,130,1_day,1,Utah Jazz,41,14,0.3415,1610612762,,0.0,2025-10-10T00:00:00Z,0012500045,SAS,,,True,0.75,0.0,,,,,0,0,134,1_day,1,San Antonio Spurs,48,13,0.2708,1610612759,,,,,,,2025-10-10,,,,5,2025,,,,,,,,,,True
,ORL,118.0,126.0,False,0.0,,,8.0,,128,3_plus_days,5,Orlando Magic,32,11,0.3438,1610612753,,0.0,2025-10-10T00:00:00Z,0012500070,PHI,113.0,104.0,False,0.0,0.0,,,-9.0,,0,0,98,3_plus_days,5,Philadelphia 76ers,34,8,0.2353,1610612755,,,,,,,2025-10-10,,,,0,2025,,,,,,,,,,False
,ATL,122.0,113.0,False,0.0,,,-9.0,,122,3_plus_days,4,Atlanta Hawks,31,9,0.2903,1610612737,,0.15,2025-10-11T00:00:00Z,0012500018,MEM,124.5,107.5,True,0.15,0.0,,,-17.0,,0,0,116,2_days,2,Memphis Grizzlies,47,14,0.2979,1610612763,,,,,,,2025-10-11,,,,0,2025,,,,,,,,,,False
,OKC,110.0,112.0,True,0.4,,,2.0,,101,1_day,1,Oklahoma City Thunder,37,12,0.3243,1610612760,,-0.4,2025-10-11T00:00:00Z,0012500046,IND,,,False,0.0,0.0,,,,,0,0,116,3_plus_days,3,Indiana Pacers,48,12,0.25,1610612754,,,,,,,2025-10-11,,,,0,2025,,,,,,,,,,False
,CHA,122.0,116.0,True,0.4,,,-6.0,,120,1_day,1,Charlotte Hornets,39,16,0.4103,1610612766,,-0.4,2025-10-11T00:00:00Z,0012500047,DAL,89.0,106.0,False,0.0,0.0,,,17.0,,0,0,116,3_plus_days,4,Dallas Mavericks,27,10,0.3704,1610612742,,,,,,,2025-10-11,,,,0,2025,,,,,,,,,,False
,GSW,,,False,0.0,,,,,116,3_plus_days,3,Golden State Warriors,43,14,0.3256,1610612744,,0.0,2025-10-12T00:00:00Z,0012500004,LAL,103.0,81.0,False,0.0,0.0,,,-22.0,,0,0,126,3_plus_days,6,Los Angeles Lakers,27,12,0.4444,1610612747,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,BKN,,,True,0.4,,,,,111,1_day,1,Brooklyn Nets,40,17,0.425,1610612751,,0.0,2025-10-12T00:00:00Z,0012500013,PHX,,,True,0.4,0.0,,,,,0,0,109,1_day,1,Phoenix Suns,38,13,0.3421,1610612756,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,TOR,122.0,130.0,True,0.4,,,8.0,,113,1_day,1,Toronto Raptors,49,14,0.2857,1610612761,,-0.4,2025-10-12T00:00:00Z,0012500048,WAS,,,False,0.0,0.0,,,,,0,0,112,3_plus_days,1885,Washington Wizards,31,9,0.2903,1610612764,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,MIA,,,False,0.0,,,,,104,3_plus_days,3,Miami Heat,33,9,0.2727,1610612748,,0.4,2025-10-12T00:00:00Z,0012500049,ORL,,,True,0.4,0.0,,,,,0,0,120,1_day,1,Orlando Magic,40,13,0.325,1610612753,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,CLE,119.0,112.0,True,0.15,,,-7.0,,107,2_days,2,Cleveland Cavaliers,60,12,0.2,1610612739,,0.25,2025-10-12T00:00:00Z,0012500050,BOS,,,True,0.4,0.0,,,,,0,0,138,1_day,1,Boston Celtics,45,18,0.4,1610612738,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,MIL,93.0,103.0,True,0.15,,,10.0,,127,2_days,2,Milwaukee Bucks,48,20,0.4167,1610612749,,0.0,2025-10-12T00:00:00Z,0012500051,CHI,112.0,119.0,True,0.15,0.0,,,7.0,,0,0,121,2_days,2,Chicago Bulls,41,11,0.2683,1610612741,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
