game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,vegas_spread_home,vegas_total,model,projected_margin,spread_edge,projected_total,total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,confidence_tier,arbitration_cluster,selection_authority,is_authority
0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,2.5,238.0,FatiguePlus_v3,-0.39814814814815236,-2.8981481481481524,233.27973544973545,-4.720264550264545,HOME,UNDER,LOSS,WIN,LOSS,HOME,UNDER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,2.5,238.0,InjuryModel_v2,-0.39814814814815236,-2.8981481481481524,235.19973544973544,-2.800264550264558,HOME,UNDER,LOSS,WIN,LOSS,HOME,UNDER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,2.5,238.0,Joel_Baseline_v1,-0.39814814814815236,-2.8981481481481524,235.19973544973544,-2.800264550264558,HOME,UNDER,LOSS,WIN,LOSS,HOME,UNDER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500529,Miami Heat,Chicago Bulls,116,113,-3,229,2.5,238.0,MonkeyDarts_v2,-9.140751330383825,-11.640751330383825,226.24171998780577,-11.758280012194234,HOME,UNDER,LOSS,WIN,LOSS,HOME,UNDER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,-6.5,236.5,FatiguePlus_v3,-3.8867753623188435,2.6132246376811565,228.3788768115942,-8.12112318840579,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,-6.5,236.5,InjuryModel_v2,-3.8867753623188435,2.6132246376811565,228.55887681159422,-7.941123188405783,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,-6.5,236.5,Joel_Baseline_v1,-3.8867753623188435,2.6132246376811565,228.55887681159422,-7.941123188405783,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,-6.5,236.5,MonkeyDarts_v2,1.9359361142414766,8.435936114241477,232.8839285432649,-3.6160714567351135,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,-16.5,257.5,FatiguePlus_v3,-10.836956521739125,5.6630434782608745,228.50913043478263,-28.990869565217366,AWAY,UNDER,LOSS,WIN,LOSS,AWAY,UNDER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,-16.5,257.5,InjuryModel_v2,-10.836956521739125,5.6630434782608745,228.98913043478262,-28.510869565217376,AWAY,UNDER,LOSS,WIN,LOSS,AWAY,UNDER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,-16.5,257.5,Joel_Baseline_v1,-10.836956521739125,5.6630434782608745,228.98913043478262,-28.510869565217376,AWAY,UNDER,LOSS,WIN,LOSS,AWAY,UNDER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,True
0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,-16.5,257.5,MonkeyDarts_v2,-7.036479921696639,9.463520078303361,225.7850554882309,-31.71494451176909,AWAY,UNDER,LOSS,WIN,LOSS,AWAY,UNDER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500653,Toronto Raptors,Oklahoma City Thunder,103,101,-2,204,-11.0,224.5,FatiguePlus_v3,-5.182336182336172,5.817663817663828,226.53424501424502,2.034245014245016,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500653,Toronto Raptors,Oklahoma City Thunder,103,101,-2,204,-11.0,224.5,InjuryModel_v2,-5.182336182336172,5.817663817663828,227.014245014245,2.514245014245006,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500653,Toronto Raptors,Oklahoma City Thunder,103,101,-2,204,-11.0,224.5,Joel_Baseline_v1,-5.182336182336172,5.817663817663828,227.014245014245,2.514245014245006,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,HIGH,CLUSTER_A,Joel_Baseline_v1,True
0022500653,Toronto Raptors,Oklahoma City Thunder,103,101,-2,204,-11.0,224.5,MonkeyDarts_v2,-1.212708450503385,9.787291549496615,234.97014806253762,10.470148062537618,AWAY,OVER,WIN,LOSS,LOSS,AWAY,OVER,WIN,LOSS,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500654,New Orleans Pelicans,San Antonio Spurs,104,95,-9,199,-11.5,240.0,FatiguePlus_v3,-9.344614624505923,2.1553853754940775,233.25330039525693,-6.746699604743071,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500654,New Orleans Pelicans,San Antonio Spurs,104,95,-9,199,-11.5,240.0,InjuryModel_v2,-8.907114624505923,2.5928853754940775,233.80830039525694,-6.191699604743064,AWAY,UNDER,WIN,WIN,WIN,AWAY,UNDER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
