nba_game_day_local,game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,MARKET,vegas_spread_home,vegas_total,MODELS,model,model_projected_margin,model_spread_edge,model_projected_total,model_total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,AUTHORITY,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,selection_authority,is_authority,MODEL_FATIGUE,home_rest_bucket,away_rest_bucket,home_fatigue_score,away_fatigue_score,fatigue_diff_home_minus_away,MODEL_INJURY,home_injury_impact,away_injury_impact,FUTURE_MODEL_3PT,home_score_final,home_team_3pa,home_team_3pm,home_team_3pt_pct,away_team_3pa,away_team_3pm,away_team_3pt_pct,FUTURE_AGENT_DECISION_INFO,disagreement_flag,arbitration_cluster,confidence_tier,confidence_reason,consensus_book_count,agent_override_confidence_delta,agent_override_pick,agent_override_reason,all_time_snapshot_count,arbitration,TIPOFF,odds_commence_time_cst
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,MarketBlend_v1,5.167255434782604,11.667255434782604,232.45002717391304,-4.049972826086957,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,MarketPressure_v2,-3.8867753623188435,2.6132246376811565,230.54415760869566,-5.955842391304344,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,Momentum5Game_v1,1.5,8.0,244.1,7.6,AWAY,OVER,WIN,LOSS,LOSS,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500644,Golden State Warriors,Minnesota Timberwolves,111,85,-26,196,>>>,-6.5,236.5,>>>,MonkeyDarts_v2,1.9359361142414766,8.435936114241477,232.8839285432649,-3.6160714567351135,AWAY,UNDER,WIN,WIN,WIN,>>>,AWAY,UNDER,WIN,WIN,Joel_Baseline_v1,False,>>>,2_days,2_days,0.15,0.15,0.0,>>>,0.0,,>>>,85,38.0,13.0,0.3421,51.0,16.0,0.3137,>>>,True,CLUSTER_A,MODERATE,Edge exceeds minimum threshold,9,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,6,"{'spread': {'directional_pct': 1.0, 'weighted_score': 38.556, 'tier_score': 38.556, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 0.857, 'weighted_score': 45.225, 'tier_score': 38.765, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': True}}",>>>,2026-01-25T16:40:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,FatiguePlus_v3,-10.836956521739125,5.6630434782608745,228.50913043478263,-28.990869565217366,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,InjuryModel_v2,-10.836956521739125,5.6630434782608745,228.98913043478262,-28.510869565217376,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,Joel_Baseline_v1,-10.836956521739125,-5.6630434782608745,228.98913043478262,-28.510869565217376,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,True,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,MarketBlend_v1,13.611847826086944,30.111847826086944,242.95945652173913,-14.540543478260872,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,MarketPressure_v2,-10.836956521739125,5.6630434782608745,236.11684782608697,-21.383152173913032,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
2026-01-25,0022500650,Sacramento Kings,Detroit Pistons,116,139,23,255,>>>,-16.5,257.5,>>>,Momentum5Game_v1,-7.3,9.2,223.9,-33.6,AWAY,UNDER,LOSS,WIN,LOSS,>>>,AWAY,UNDER,LOSS,WIN,Joel_Baseline_v1,False,>>>,1_day,1_day,0.4,0.4,0.0,>>>,0.0,,>>>,139,31.0,16.0,0.5161,25.0,11.0,0.44,>>>,True,CLUSTER_A,HIGH,Edge exceeds minimum threshold,8,-0.5,OVER,Tight total edge; recent shooting volatility suggests caution,4,"{'spread': {'directional_pct': 1.0, 'weighted_score': 71.428, 'tier_score': 71.428, 'tier_level': 'LOW', 'tier_label': 'Weak Consensus Edge', 'tier_icon': '🟠', 'disagreement_flag': False}, 'total': {'directional_pct': 1.0, 'weighted_score': 187.251, 'tier_score': 187.251, 'tier_level': 'MEDIUM', 'tier_label': 'Moderate Agreement', 'tier_icon': '🟡', 'disagreement_flag': False}}",>>>,2026-01-25T14:11:00-06:00
