actionability,agent_reasoning,away_team,away_team_key,bookmaker_count,completed,confidence_reason,confidence_tier,game_date,game_id,home_line_proj,home_team,home_team_key,line_source,model_name,moneyline_away_last,moneyline_home_last,odds_event_id,odds_snapshot_last_utc,parlay_edge_score,slate_date,spread_away_last,spread_edge,spread_home_last,spread_pick,status,tip_time_cst,total_edge,total_last,total_pick,total_projection
ACTIVE,,Arizona Cardinals,ARI,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772718,5.75,New Orleans Saints,NO,odds_api_flattened_consensus,Football_MarketBlend_v1,-270.0,222.0,557d13ef8f4c1d21044f3a478cda6d0b,2025-09-07T15:55:38Z,0.75,2025-09-07,-6.0,0.25,6.0,HOME,STATUS_FINAL,2025-09-07 12:00 PM CT,0.5,44.5,OVER,45.0
ACTIVE,,Miami Dolphins,MIA,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772719,-0.75,Indianapolis Colts,IND,odds_api_flattened_consensus,Football_MarketBlend_v1,-104.0,-117.0,b02a72c768a6c6dee87aa74f78e84176,2025-09-07T15:55:38Z,0.75,2025-09-07,1.0,-0.25,-1.0,AWAY,STATUS_FINAL,2025-09-07 12:00 PM CT,-0.5,46.5,UNDER,46.0
ACTIVE,,Las Vegas Raiders,LV,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772720,-2.25,New England Patriots,NE,odds_api_flattened_consensus,Football_MarketBlend_v1,124.0,-145.0,0b2455795dfcd692dd607503e4f20d04,2025-09-07T15:55:38Z,0.75,2025-09-07,2.5,-0.25,-2.5,,STATUS_FINAL,2025-09-07 12:00 PM CT,0.5,44.0,OVER,44.5
ACTIVE,,Pittsburgh Steelers,PIT,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772721,2.75,New York Jets,NYJ,odds_api_flattened_consensus,Football_MarketBlend_v1,-164.0,138.0,5ed483bb614b18955f8b43f177746371,2025-09-07T15:55:38Z,0.75,2025-09-07,-3.0,0.25,3.0,,STATUS_FINAL,2025-09-07 12:00 PM CT,0.5,38.0,OVER,38.5
ACTIVE,,Detroit Lions,DET,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772722,-1.25,Green Bay Packers,GB,odds_api_flattened_consensus,Football_MarketBlend_v1,105.0,-125.0,8e0e2d9237098222f9ca7554b11b12bb,2025-09-07T15:55:38Z,0.75,2025-09-07,1.5,-0.25,-1.5,AWAY,STATUS_FINAL,2025-09-07 03:25 PM CT,-0.5,47.5,UNDER,47.0
ACTIVE,,Houston Texans,HOU,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772723,-2.75,Los Angeles Rams,LAR,odds_api_flattened_consensus,Football_MarketBlend_v1,143.0,-170.0,dc0e3db61983a138098f28226788d2d3,2025-09-07T15:55:38Z,0.75,2025-09-07,3.0,-0.25,-3.0,,STATUS_FINAL,2025-09-07 03:25 PM CT,0.5,43.5,OVER,44.0
ACTIVE,,New York Giants,NYG,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772827,-5.75,Washington Commanders,WAS,odds_api_flattened_consensus,Football_MarketBlend_v1,228.0,-285.0,4cce00ca468c67eca17a9a061f778fb2,2025-09-07T15:55:38Z,0.75,2025-09-07,6.0,-0.25,-6.0,AWAY,STATUS_FINAL,2025-09-07 12:00 PM CT,-0.5,45.5,UNDER,45.0
ACTIVE,,Carolina Panthers,CAR,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772828,-4.25,Jacksonville Jaguars,JAX,odds_api_flattened_consensus,Football_MarketBlend_v1,176.0,-210.0,394256a6c3d0f5ecd1208fffaae6a72f,2025-09-07T15:55:38Z,0.75,2025-09-07,4.5,-0.25,-4.5,AWAY,STATUS_FINAL,2025-09-07 12:00 PM CT,-0.5,46.0,UNDER,45.5
ACTIVE,,Cincinnati Bengals,CIN,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772829,4.25,Cleveland Browns,CLE,odds_api_flattened_consensus,Football_MarketBlend_v1,-230.0,190.0,e2d3b0596efcebc1c19dab92009f5e26,2025-09-07T15:55:38Z,0.75,2025-09-07,-4.5,0.25,4.5,HOME,STATUS_FINAL,2025-09-07 12:00 PM CT,-0.5,48.0,UNDER,47.5
ACTIVE,,Tampa Bay Buccaneers,TB,11.0,1,Football market blend edge clears threshold,LOW,2025-09-07,nfl_401772830,0.25,Atlanta Falcons,ATL,odds_api_flattened_consensus,Football_MarketBlend_v1,-110.0,-110.0,1e09eb3fe1385796c1a32000de48ac64,2025-09-07T15:55:38Z,0.75,2025-09-07,-0.0,-0.25,0.0,AWAY,STATUS_FINAL,2025-09-07 12:00 PM CT,-0.5,47.5,UNDER,47.0
