selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851289,2026-03-11,Arizona,Iowa,arizona,iowa,,2,-36.5,36.5,146.5,0.0,0.0,-0.6816,145.8303,Arizona,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,35.8184,-0.6697,36.4881
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851557,2026-03-11,LSU,Kentucky,lsu,kentucky,,2,-11.5,11.5,173.5,-10000.0,1750.0,0.3896,158.8464,LSU,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,11.8896,-14.6536,26.5432
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851258,2026-03-11,St. Bonaventure,La Salle,st_bonaventure,la_salle,,2,15.5,-15.5,159.5,1500.0,-10000.0,4.2864,145.8319,La Salle,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-11.2136,-13.6681,24.8817
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851549,2026-03-11,Boston U.,Lehigh,boston_u,lehigh,,2,2.5,-2.5,138.5,118.0,-145.0,1.421,148.3809,Lehigh,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-1.079,9.8809,10.9599
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851467,2026-03-11,Siena,Merrimack,siena,merrimack,,2,-1.5,1.5,128.5,-130.0,105.0,-0.312,138.0464,Siena,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,1.188,9.5464,10.7345
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851496,2026-03-11,Air Force,Nevada,air_force,nevada,,2,-19.5,19.5,140.5,-5000.0,1350.0,-10.2947,144.2685,Air Force,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,9.2053,3.7685,12.9738
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851293,2026-03-11,BYU,West Virginia,byu,west_virginia,,2,3.5,-3.5,140.5,145.0,-180.0,3.3698,148.7869,West Virginia,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-0.1302,8.2869,8.4171
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851174,2026-03-11,SMU,Louisville,smu,louisville,,2,-6.5,6.5,164.0,-300.0,245.0,-3.6341,155.9955,SMU,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.8659,-8.0045,10.8704
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851407,2026-03-11,Missouri,Liberty,missouri,liberty,,2,-4.5,4.5,142.5,-225.0,185.0,-3.8625,149.5022,Missouri,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,0.6375,7.0022,7.6397
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851334,2026-03-11,Montana,Portland,montana,portland,,2,-3.5,3.5,145.5,-175.0,135.0,2.4809,146.6584,Montana,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,5.9809,1.1584,7.1392
