selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851289,2026-03-11,Arizona,Iowa,arizona,iowa,,2,-11.5,11.5,147.5,-650.0,475.0,-0.6816,145.8303,Arizona,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,10.8184,-1.6697,12.4881
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851496,2026-03-11,Air Force,Nevada,air_force,nevada,,2,-20.5,20.5,139.5,-5000.0,1400.0,-10.2947,144.2685,Air Force,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,10.2053,4.7685,14.9738
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851467,2026-03-11,Siena,Merrimack,siena,merrimack,,2,-1.5,1.5,128.5,-130.0,105.0,-0.312,138.0464,Siena,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,1.188,9.5464,10.7345
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851549,2026-03-11,Boston U.,Lehigh,boston_u,lehigh,,2,1.5,-1.5,139.5,105.0,-130.0,1.421,148.3809,Lehigh,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-0.079,8.8809,8.9599
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851557,2026-03-11,LSU,Kentucky,lsu,kentucky,,2,-7.5,7.5,151.5,-300.0,240.0,0.3896,158.8464,LSU,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,7.8896,7.3464,15.2359
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851174,2026-03-11,SMU,Louisville,smu,louisville,,2,-6.5,6.5,163.5,-275.0,220.0,-3.6341,155.9955,SMU,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.8659,-7.5045,10.3704
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851559,2026-03-11,Ole Miss,Texas,ole_miss,texas,,2,-5.5,5.5,145.5,-235.0,195.0,-1.1582,152.0654,Ole Miss,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,4.3418,6.5654,10.9071
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851495,2026-03-11,Wyoming,UNLV,wyoming,unlv,,2,-3.5,3.5,154.5,-170.0,140.0,2.9772,154.2463,Wyoming,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,6.4772,-0.2537,6.731
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851334,2026-03-11,Montana,Portland,montana,portland,,2,-3.5,3.5,145.5,-175.0,135.0,2.4809,146.6584,Montana,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,5.9809,1.1584,7.1392
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851335,2026-03-11,Idaho,Eastern Wash.,idaho,eastern_wash,,2,1.5,-1.5,148.5,105.0,-125.0,0.5096,154.2596,Eastern Wash.,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-0.9904,5.7596,6.75
