selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401820576,2026-03-08,Air Force,Nevada,air_force,nevada,,2,0.0,0.0,0.0,0.0,0.0,-8.0,151.0,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401827725,2026-03-08,Arizona,Colorado,arizona,colorado,,2,0.0,0.0,0.0,0.0,0.0,-8.25,151.75,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401808288,2026-03-08,Auburn,Alabama,auburn,alabama,,2,0.0,0.0,0.0,0.0,0.0,10.0,159.5,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851548,2026-03-08,Boston U.,Navy,boston_u,navy,,2,0.0,0.0,0.0,0.0,0.0,-1.5,145.5,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401805216,2026-03-08,California,Southern Utah,california,southern_utah,,2,0.0,0.0,0.0,0.0,0.0,14.5,159.0,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856427,2026-03-08,Campbell,UNCW,campbell,uncw,,2,0.0,0.0,0.0,0.0,0.0,-3.25,153.25,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401828263,2026-03-08,Charlotte,Florida,charlotte,florida,,2,0.0,0.0,0.0,0.0,0.0,-7.0,152.3333,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851547,2026-03-08,Colgate,Lehigh,colgate,lehigh,,2,0.0,0.0,0.0,0.0,0.0,5.0,151.0,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856428,2026-03-08,Drexel,Monmouth,drexel,monmouth,,2,0.0,0.0,0.0,0.0,0.0,-4.0,154.5,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401828262,2026-03-08,East Carolina,UAB,east_carolina,uab,,2,0.0,0.0,0.0,0.0,0.0,-16.5,156.5,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856426,2026-03-08,Elon,William & Mary,elon,william_and_mary,,2,0.0,0.0,0.0,0.0,0.0,-14.0,156.0,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851703,2026-03-08,Georgia,Coastal Carolina,georgia,coastal_carolina,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851602,2026-03-08,Houston Christian,New Orleans,houston_christian,new_orleans,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
