selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401808282,2026-03-07,Texas A&M,LSU,texas_aandm,lsu,,2,2.5,-2.5,160.5,125,-155,12.5,171.5,Texas A&M,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,10,11,21
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401825563,2026-03-07,Indiana,Ohio State,indiana,ohio_state,,2,,,148.5,-185,150,11,140,,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,,-8.5,8.5
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401808288,2026-03-08,Auburn,Alabama,auburn,alabama,,2,-6.5,6.5,177.5,-295,230,12,174,Auburn,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,18.5,-3.5,22
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401825562,2026-03-08,Northwestern,Minnesota,northwestern,minnesota,,2,-3.5,3.5,131.5,-175,145,13,130,Northwestern,UNDER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,16.5,-1.5,18
