selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856432,2026-03-10,Towson,Hofstra,towson,hofstra,,2,-1.5,1.5,117.5,-160.0,125.0,-3.3197,139.9699,Hofstra,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-1.8197,22.4699,24.2895
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851759,2026-03-10,Oregon,Gonzaga,oregon,gonzaga,,2,-16.5,16.5,129.5,0.0,0.0,-12.0226,150.413,Oregon,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,4.4774,20.913,25.3904
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851433,2026-03-10,Detroit Mercy,Robert Morris,detroit_mercy,robert_morris,,2,-6.5,6.5,143.5,-375.0,275.0,-2.0417,154.75,Detroit Mercy,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,4.4583,11.25,15.7083
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851283,2026-03-10,Utah,Cincinnati,utah,cincinnati,,2,-11.5,11.5,138.5,-700.0,500.0,-0.9625,148.0834,Utah,OVER,HIGH,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,10.5375,9.5834,20.121
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851285,2026-03-10,Kansas,BYU,kansas,byu,,2,-10.5,10.5,166.5,-475.0,360.0,-3.5369,156.7866,Kansas,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,6.9631,-9.7134,16.6765
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851204,2026-03-10,NJIT,Vermont,njit,vermont,,2,-12.5,12.5,137.5,-750.0,525.0,-4.6994,141.3728,NJIT,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,7.8006,3.8728,11.6734
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851282,2026-03-10,Baylor,Arizona,baylor,arizona,,2,3.5,-3.5,154.5,140.0,-170.0,-4.1959,154.4792,Arizona,UNDER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-7.6959,-0.0208,7.7167
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851170,2026-03-10,Pittsburgh,Stanford,pittsburgh,stanford,,2,-5.5,5.5,138.5,-210.0,170.0,-3.147,144.2101,Pittsburgh,OVER,MEDIUM,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.353,5.7101,8.0632
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851362,2026-03-10,Maryland,Oregon,maryland,oregon,,2,-3.5,3.5,138.5,-175.0,145.0,-3.1628,143.3705,Maryland,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,0.3372,4.8705,5.2077
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851363,2026-03-10,Penn,Northwestern,penn,northwestern,,2,-6.5,6.5,144.5,-250.0,200.0,-1.8106,146.1277,Penn,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,4.6894,1.6277,6.3171
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401856433,2026-03-10,Monmouth,Hofstra,monmouth,hofstra,,2,-5.5,5.5,135.5,-225.0,185.0,-3.0001,139.9311,Monmouth,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,2.4999,4.4311,6.931
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851171,2026-03-10,Syracuse,SMU,syracuse,smu,,2,-5.5,5.5,155.5,-210.0,170.0,-1.3287,154.7315,Syracuse,UNDER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,4.1713,-0.7685,4.9398
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851405,2026-03-10,Missouri,Florida,missouri,florida,,2,1.5,-1.5,153.5,-105.0,-115.0,-1.9295,153.6335,Florida,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,-3.4295,0.1335,3.563
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851716,2026-03-10,Alcorn,Prairie View,alcorn,prairie_view,,2,0.0,0.0,145.5,-250.0,200.0,-5.9161,147.9068,,OVER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,0.0,2.4068,2.4068
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851202,2026-03-10,UMass Lowell,UMBC,umass_lowell,umbc,,2,-8.0,8.0,147.5,0.0,0.0,-6.1852,145.2963,UMass Lowell,UNDER,LOW,NONE,NONE,NCAAM MVP placeholder confidence,ACTIVE,1.8148,-2.2037,4.0185
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851715,2026-03-10,Mississippi Val.,Grambling,mississippi_val,grambling,,2,0.0,0.0,0.0,0.0,0.0,-7.5777,142.8039,,,IGNORE,NONE,NONE,NCAAM MVP placeholder confidence,NONE,0.0,0.0,0.0
