selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401827725,2026-03-08,Arizona,Colorado,arizona,colorado,,2,5.5,-5.5,160.5,270.0,-375.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401851494,2026-03-08,Northern Iowa,UIC,northern_iowa,uic,,2,2.5,-2.5,124.5,0.0,0.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401827724,2026-03-08,Texas Tech,BYU,texas_tech,byu,,2,-7.5,7.5,0.0,-3000.0,1000.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401825564,2026-03-08,Washington,Oregon,washington,oregon,,2,-15.5,15.5,157.5,-10000.0,1800.0,0.0,0.0,,,IGNORE,NONE,NONE,No model signal yet,NONE,0.0,0.0,0.0
