selection_authority,primary_model_source,game_id,game_date_local,away_team,home_team,away_team_id,home_team_id,tip_time_cst,season_type,spread_home_last,spread_away_last,total_last,moneyline_home_last,moneyline_away_last,projected_margin_home,projected_total,spread_pick,total_pick,confidence_tier,cluster_alignment,arbitration_cluster,confidence_reason,actionability,spread_edge,total_edge,parlay_edge_score
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401805208,2026-02-28,Abilene Christian,Utah Valley,abilene_christian,utah_valley,,2,0.0,0.0,0.0,0.0,0.0,-6.0,144.0,,,IGNORE,NONE,NONE,No model signal,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401809120,2026-03-01,UC Santa Barbara,UC Irvine,uc_santa_barbara,uc_irvine,,2,0.0,0.0,0.0,0.0,0.0,-0.5,146.5,,,IGNORE,NONE,NONE,No model signal,NONE,0.0,0.0,0.0
ncaam_avg_score_model,ncaam_avg_score_model,ncaam_401805210,2026-03-01,Utah Tech,Southern Utah,utah_tech,southern_utah,,2,0.0,0.0,0.0,0.0,0.0,4.0,168.0,,,IGNORE,NONE,NONE,No model signal,NONE,0.0,0.0,0.0
